station	category	num	price	url
sagrada-familia	1	278	145602	http://www.nestoria.es/sagrada-familia/casa/comprar/dormitorios-1/dormitorios_max-1
sagrada-familia	2	746	175172	http://www.nestoria.es/sagrada-familia/casa/comprar/dormitorios-2/dormitorios_max-2
sagrada-familia	3	1463	208117	http://www.nestoria.es/sagrada-familia/casa/comprar/dormitorios-3/dormitorios_max-3
sagrada-familia	4	1040	259560	http://www.nestoria.es/sagrada-familia/casa/comprar/dormitorios-4/dormitorios_max-4
sagrada-familia	5	259	383486	http://www.nestoria.es/sagrada-familia/casa/comprar/dormitorios-5/dormitorios_max-5
sagrada-familia	all	4178	207789	http://www.nestoria.es/sagrada-familia/casa/comprar
bac-de-roda	1	61	161421	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar/dormitorios-1/dormitorios_max-1
bac-de-roda	2	263	170926	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar/dormitorios-2/dormitorios_max-2
bac-de-roda	3	437	179824	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar/dormitorios-3/dormitorios_max-3
bac-de-roda	4	225	226732	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar/dormitorios-4/dormitorios_max-4
bac-de-roda	5	23	253443	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar/dormitorios-5/dormitorios_max-5
bac-de-roda	all	996	186536	http://www.nestoria.es/bac-de-roda_barcelona/casa/comprar
av-carrilet	1	10	114485	http://www.nestoria.es/av-carrilet/casa/comprar/dormitorios-1/dormitorios_max-1
av-carrilet	2	46	121199	http://www.nestoria.es/av-carrilet/casa/comprar/dormitorios-2/dormitorios_max-2
av-carrilet	3	98	150093	http://www.nestoria.es/av-carrilet/casa/comprar/dormitorios-3/dormitorios_max-3
av-carrilet	4	53	199953	http://www.nestoria.es/av-carrilet/casa/comprar/dormitorios-4/dormitorios_max-4
av-carrilet	5	6	407181	http://www.nestoria.es/av-carrilet/casa/comprar/dormitorios-5/dormitorios_max-5
av-carrilet	all	206	155829	http://www.nestoria.es/av-carrilet/casa/comprar
jaume-i	1	193	181748	http://www.nestoria.es/jaume-i/casa/comprar/dormitorios-1/dormitorios_max-1
jaume-i	2	264	196397	http://www.nestoria.es/jaume-i/casa/comprar/dormitorios-2/dormitorios_max-2
jaume-i	3	423	243634	http://www.nestoria.es/jaume-i/casa/comprar/dormitorios-3/dormitorios_max-3
jaume-i	4	255	282824	http://www.nestoria.es/jaume-i/casa/comprar/dormitorios-4/dormitorios_max-4
jaume-i	5	110	477839	http://www.nestoria.es/jaume-i/casa/comprar/dormitorios-5/dormitorios_max-5
jaume-i	all	1461	240703	http://www.nestoria.es/jaume-i/casa/comprar
canyelles	1	18	105116	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar/dormitorios-1/dormitorios_max-1
canyelles	2	76	96697	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar/dormitorios-2/dormitorios_max-2
canyelles	3	212	124045	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar/dormitorios-3/dormitorios_max-3
canyelles	4	119	225757	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar/dormitorios-4/dormitorios_max-4
canyelles	5	29	431251	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar/dormitorios-5/dormitorios_max-5
canyelles	all	530	126494	http://www.nestoria.es/canyelles_barcelona-1/casa/comprar
hospital-de-bellvitge	1	8	115073	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar/dormitorios-1/dormitorios_max-1
hospital-de-bellvitge	2	25	135344	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar/dormitorios-2/dormitorios_max-2
hospital-de-bellvitge	3	62	143030	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar/dormitorios-3/dormitorios_max-3
hospital-de-bellvitge	4	25	181013	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar/dormitorios-4/dormitorios_max-4
hospital-de-bellvitge	5	3	429235	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar/dormitorios-5/dormitorios_max-5
hospital-de-bellvitge	all	119	147412	http://www.nestoria.es/hospital-de-bellvitge/casa/comprar
el-coll	1	25	154848	http://www.nestoria.es/el-coll/casa/comprar/dormitorios-1/dormitorios_max-1
el-coll	2	158	187729	http://www.nestoria.es/el-coll/casa/comprar/dormitorios-2/dormitorios_max-2
el-coll	3	192	258344	http://www.nestoria.es/el-coll/casa/comprar/dormitorios-3/dormitorios_max-3
el-coll	4	95	332684	http://www.nestoria.es/el-coll/casa/comprar/dormitorios-4/dormitorios_max-4
el-coll	5	17	426925	http://www.nestoria.es/el-coll/casa/comprar/dormitorios-5/dormitorios_max-5
el-coll	all	459	271372	http://www.nestoria.es/el-coll/casa/comprar
can-vidalet	1	28	69744	http://www.nestoria.es/can-vidalet/casa/comprar/dormitorios-1/dormitorios_max-1
can-vidalet	2	177	95009	http://www.nestoria.es/can-vidalet/casa/comprar/dormitorios-2/dormitorios_max-2
can-vidalet	3	336	120353	http://www.nestoria.es/can-vidalet/casa/comprar/dormitorios-3/dormitorios_max-3
can-vidalet	4	223	234767	http://www.nestoria.es/can-vidalet/casa/comprar/dormitorios-4/dormitorios_max-4
can-vidalet	5	22	307642	http://www.nestoria.es/can-vidalet/casa/comprar/dormitorios-5/dormitorios_max-5
can-vidalet	all	772	130035	http://www.nestoria.es/can-vidalet/casa/comprar
collblanc	1	58	115037	http://www.nestoria.es/collblanc/casa/comprar/dormitorios-1/dormitorios_max-1
collblanc	2	210	127814	http://www.nestoria.es/collblanc/casa/comprar/dormitorios-2/dormitorios_max-2
collblanc	3	403	144828	http://www.nestoria.es/collblanc/casa/comprar/dormitorios-3/dormitorios_max-3
collblanc	4	229	227520	http://www.nestoria.es/collblanc/casa/comprar/dormitorios-4/dormitorios_max-4
collblanc	5	37	484660	http://www.nestoria.es/collblanc/casa/comprar/dormitorios-5/dormitorios_max-5
collblanc	all	927	155531	http://www.nestoria.es/collblanc/casa/comprar
sants-estacio	1	56	154054	http://www.nestoria.es/sants-estacio/casa/comprar/dormitorios-1/dormitorios_max-1
sants-estacio	2	133	183831	http://www.nestoria.es/sants-estacio/casa/comprar/dormitorios-2/dormitorios_max-2
sants-estacio	3	296	238134	http://www.nestoria.es/sants-estacio/casa/comprar/dormitorios-3/dormitorios_max-3
sants-estacio	4	235	316730	http://www.nestoria.es/sants-estacio/casa/comprar/dormitorios-4/dormitorios_max-4
sants-estacio	5	100	587252	http://www.nestoria.es/sants-estacio/casa/comprar/dormitorios-5/dormitorios_max-5
sants-estacio	all	909	258824	http://www.nestoria.es/sants-estacio/casa/comprar
via-julia	1	18	111712	http://www.nestoria.es/via-julia/casa/comprar/dormitorios-1/dormitorios_max-1
via-julia	2	71	89482	http://www.nestoria.es/via-julia/casa/comprar/dormitorios-2/dormitorios_max-2
via-julia	3	166	115947	http://www.nestoria.es/via-julia/casa/comprar/dormitorios-3/dormitorios_max-3
via-julia	4	84	212054	http://www.nestoria.es/via-julia/casa/comprar/dormitorios-4/dormitorios_max-4
via-julia	5	19	400557	http://www.nestoria.es/via-julia/casa/comprar/dormitorios-5/dormitorios_max-5
via-julia	all	403	116075	http://www.nestoria.es/via-julia/casa/comprar
badal	1	93	136740	http://www.nestoria.es/badal/casa/comprar/dormitorios-1/dormitorios_max-1
badal	2	293	149713	http://www.nestoria.es/badal/casa/comprar/dormitorios-2/dormitorios_max-2
badal	3	563	164081	http://www.nestoria.es/badal/casa/comprar/dormitorios-3/dormitorios_max-3
badal	4	293	243520	http://www.nestoria.es/badal/casa/comprar/dormitorios-4/dormitorios_max-4
badal	5	63	629917	http://www.nestoria.es/badal/casa/comprar/dormitorios-5/dormitorios_max-5
badal	all	1305	175635	http://www.nestoria.es/badal/casa/comprar
sant-roc	1	5	87109	http://www.nestoria.es/sant-roc_badalona/casa/comprar/dormitorios-1/dormitorios_max-1
sant-roc	2	140	113157	http://www.nestoria.es/sant-roc_badalona/casa/comprar/dormitorios-2/dormitorios_max-2
sant-roc	3	472	125758	http://www.nestoria.es/sant-roc_badalona/casa/comprar/dormitorios-3/dormitorios_max-3
sant-roc	4	180	197086	http://www.nestoria.es/sant-roc_badalona/casa/comprar/dormitorios-4/dormitorios_max-4
sant-roc	5	17	305900	http://www.nestoria.es/sant-roc_badalona/casa/comprar/dormitorios-5/dormitorios_max-5
sant-roc	all	838	135842	http://www.nestoria.es/sant-roc_badalona/casa/comprar
vallcarca	1	48	181757	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar/dormitorios-1/dormitorios_max-1
vallcarca	2	121	234174	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar/dormitorios-2/dormitorios_max-2
vallcarca	3	244	326362	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar/dormitorios-3/dormitorios_max-3
vallcarca	4	253	413981	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar/dormitorios-4/dormitorios_max-4
vallcarca	5	118	613151	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar/dormitorios-5/dormitorios_max-5
vallcarca	all	905	365493	http://www.nestoria.es/vallcarca_barcelona-1/casa/comprar
arc-de-triomf	1	202	181907	http://www.nestoria.es/arc-de-triomf/casa/comprar/dormitorios-1/dormitorios_max-1
arc-de-triomf	2	274	194019	http://www.nestoria.es/arc-de-triomf/casa/comprar/dormitorios-2/dormitorios_max-2
arc-de-triomf	3	436	241998	http://www.nestoria.es/arc-de-triomf/casa/comprar/dormitorios-3/dormitorios_max-3
arc-de-triomf	4	266	287974	http://www.nestoria.es/arc-de-triomf/casa/comprar/dormitorios-4/dormitorios_max-4
arc-de-triomf	5	112	455155	http://www.nestoria.es/arc-de-triomf/casa/comprar/dormitorios-5/dormitorios_max-5
arc-de-triomf	all	1510	244091	http://www.nestoria.es/arc-de-triomf/casa/comprar
zona-universitaria	1	27	258070	http://www.nestoria.es/zona-universitaria/casa/comprar/dormitorios-1/dormitorios_max-1
zona-universitaria	2	38	358179	http://www.nestoria.es/zona-universitaria/casa/comprar/dormitorios-2/dormitorios_max-2
zona-universitaria	3	98	548594	http://www.nestoria.es/zona-universitaria/casa/comprar/dormitorios-3/dormitorios_max-3
zona-universitaria	4	141	771513	http://www.nestoria.es/zona-universitaria/casa/comprar/dormitorios-4/dormitorios_max-4
zona-universitaria	5	149	1104824	http://www.nestoria.es/zona-universitaria/casa/comprar/dormitorios-5/dormitorios_max-5
zona-universitaria	all	550	717582	http://www.nestoria.es/zona-universitaria/casa/comprar
monumental	1	76	158651	http://www.nestoria.es/monumental/casa/comprar/dormitorios-1/dormitorios_max-1
monumental	2	160	183659	http://www.nestoria.es/monumental/casa/comprar/dormitorios-2/dormitorios_max-2
monumental	3	281	215593	http://www.nestoria.es/monumental/casa/comprar/dormitorios-3/dormitorios_max-3
monumental	4	183	264735	http://www.nestoria.es/monumental/casa/comprar/dormitorios-4/dormitorios_max-4
monumental	5	49	377194	http://www.nestoria.es/monumental/casa/comprar/dormitorios-5/dormitorios_max-5
monumental	all	823	215089	http://www.nestoria.es/monumental/casa/comprar
passeig-de-gracia	1	374	182416	http://www.nestoria.es/passeig-de-gracia/casa/comprar/dormitorios-1/dormitorios_max-1
passeig-de-gracia	2	508	197493	http://www.nestoria.es/passeig-de-gracia/casa/comprar/dormitorios-2/dormitorios_max-2
passeig-de-gracia	3	833	250942	http://www.nestoria.es/passeig-de-gracia/casa/comprar/dormitorios-3/dormitorios_max-3
passeig-de-gracia	4	498	297792	http://www.nestoria.es/passeig-de-gracia/casa/comprar/dormitorios-4/dormitorios_max-4
passeig-de-gracia	5	227	496343	http://www.nestoria.es/passeig-de-gracia/casa/comprar/dormitorios-5/dormitorios_max-5
passeig-de-gracia	all	2888	255912	http://www.nestoria.es/passeig-de-gracia/casa/comprar
rocafort	1	55	146471	http://www.nestoria.es/rocafort_barcelona/casa/comprar/dormitorios-1/dormitorios_max-1
rocafort	2	115	192014	http://www.nestoria.es/rocafort_barcelona/casa/comprar/dormitorios-2/dormitorios_max-2
