station	category	num	price	url
kilpauk	1	41	3259787	http://www.nestoria.in/kilpauk/property/sale/bedrooms-1/maxbed-1
kilpauk	2	357	7246245	http://www.nestoria.in/kilpauk/property/sale/bedrooms-2/maxbed-2
kilpauk	3	378	15583912	http://www.nestoria.in/kilpauk/property/sale/bedrooms-3/maxbed-3
kilpauk	4	191	28926202	http://www.nestoria.in/kilpauk/property/sale/bedrooms-4/maxbed-4
kilpauk	5	36	39176173	http://www.nestoria.in/kilpauk/property/sale/bedrooms-5/maxbed-5
kilpauk	all	1375	10373735	http://www.nestoria.in/kilpauk/property/sale
vadapalani	1	96	3173950	http://www.nestoria.in/vadapalani/property/sale/bedrooms-1/maxbed-1
vadapalani	2	708	5485296	http://www.nestoria.in/vadapalani/property/sale/bedrooms-2/maxbed-2
vadapalani	3	661	10269214	http://www.nestoria.in/vadapalani/property/sale/bedrooms-3/maxbed-3
vadapalani	4	236	19142424	http://www.nestoria.in/vadapalani/property/sale/bedrooms-4/maxbed-4
vadapalani	5	52	25793894	http://www.nestoria.in/vadapalani/property/sale/bedrooms-5/maxbed-5
vadapalani	all	1997	7422055	http://www.nestoria.in/vadapalani/property/sale
chennai-airport	2	7	4054129	http://www.nestoria.in/airport-flyover_chennai/property/sale/bedrooms-2/maxbed-2
chennai-airport	3	4	5253348	http://www.nestoria.in/airport-flyover_chennai/property/sale/bedrooms-3/maxbed-3
chennai-airport	all	15	3939436	http://www.nestoria.in/airport-flyover_chennai/property/sale
chennai-airport	4	2	0	http://www.nestoria.in/airport-flyover_chennai/property/sale/bedrooms-4/maxbed-4
chennai-airport	1	0	2052386	http://www.nestoria.in/airport-flyover_chennai/property/sale/bedrooms-1/maxbed-1
chennai-airport	5	0	0	http://www.nestoria.in/airport-flyover_chennai/property/sale/bedrooms-5/maxbed-5
sidco	1	10	2619716	http://www.nestoria.in/sidco-main-rd/property/sale/bedrooms-1/maxbed-1
sidco	2	37	3891550	http://www.nestoria.in/sidco-main-rd/property/sale/bedrooms-2/maxbed-2
sidco	3	9	6042534	http://www.nestoria.in/sidco-main-rd/property/sale/bedrooms-3/maxbed-3
sidco	4	3	10377578	http://www.nestoria.in/sidco-main-rd/property/sale/bedrooms-4/maxbed-4
sidco	5	2	13364713	http://www.nestoria.in/sidco-main-rd/property/sale/bedrooms-5/maxbed-5
sidco	all	72	4110253	http://www.nestoria.in/sidco-main-rd/property/sale
ashok-nagar	1	26	3168240	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale/bedrooms-1/maxbed-1
ashok-nagar	2	154	5967527	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale/bedrooms-2/maxbed-2
ashok-nagar	3	123	11312653	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale/bedrooms-3/maxbed-3
ashok-nagar	4	40	21040921	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale/bedrooms-4/maxbed-4
ashok-nagar	5	13	19413008	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale/bedrooms-5/maxbed-5
ashok-nagar	all	415	7618314	http://www.nestoria.in/ashok-nagar_chennai-1/property/sale
arumbakkam	1	35	2988030	http://www.nestoria.in/arumbakkam/property/sale/bedrooms-1/maxbed-1
arumbakkam	2	321	6296298	http://www.nestoria.in/arumbakkam/property/sale/bedrooms-2/maxbed-2
arumbakkam	3	164	11213575	http://www.nestoria.in/arumbakkam/property/sale/bedrooms-3/maxbed-3
arumbakkam	4	56	25286522	http://www.nestoria.in/arumbakkam/property/sale/bedrooms-4/maxbed-4
arumbakkam	all	731	6307899	http://www.nestoria.in/arumbakkam/property/sale
arumbakkam	5	2	26000000	http://www.nestoria.in/arumbakkam/property/sale/bedrooms-5/maxbed-5
thousand-lights	1	38	3034828	http://www.nestoria.in/thousand-lights/property/sale/bedrooms-1/maxbed-1
thousand-lights	2	389	5585580	http://www.nestoria.in/thousand-lights/property/sale/bedrooms-2/maxbed-2
thousand-lights	3	443	13454075	http://www.nestoria.in/thousand-lights/property/sale/bedrooms-3/maxbed-3
thousand-lights	4	166	23175596	http://www.nestoria.in/thousand-lights/property/sale/bedrooms-4/maxbed-4
thousand-lights	5	60	33437562	http://www.nestoria.in/thousand-lights/property/sale/bedrooms-5/maxbed-5
thousand-lights	all	1722	6315112	http://www.nestoria.in/thousand-lights/property/sale
meenambakkam	1	58	2314078	http://www.nestoria.in/meenambakkam/property/sale/bedrooms-1/maxbed-1
meenambakkam	2	511	3858772	http://www.nestoria.in/meenambakkam/property/sale/bedrooms-2/maxbed-2
meenambakkam	3	229	5189211	http://www.nestoria.in/meenambakkam/property/sale/bedrooms-3/maxbed-3
