station	category	num	price	url
fuhlsbuettel-nord_hamburg-u-bahn	1	2	58899	http://www.nestoria.de/immobilien/kaufen/fuhlsbuettel-nord_hamburg-u-bahn/zimmer_max-1
fuhlsbuettel-nord_hamburg-u-bahn	2	3	130608	http://www.nestoria.de/immobilien/kaufen/fuhlsbuettel-nord_hamburg-u-bahn/zimmer-2/zimmer_max-2
fuhlsbuettel-nord_hamburg-u-bahn	3	4	212158	http://www.nestoria.de/immobilien/kaufen/fuhlsbuettel-nord_hamburg-u-bahn/zimmer-3/zimmer_max-3
fuhlsbuettel-nord_hamburg-u-bahn	4	3	246944	http://www.nestoria.de/immobilien/kaufen/fuhlsbuettel-nord_hamburg-u-bahn/zimmer-4/zimmer_max-4
fuhlsbuettel-nord_hamburg-u-bahn	5	2	367387	http://www.nestoria.de/immobilien/kaufen/fuhlsbuettel-nord_hamburg-u-bahn/zimmer-5/zimmer_max-5
jungfernstieg_hamburg-u-bahn	1	2	268566	http://www.nestoria.de/immobilien/kaufen/jungfernstieg_hamburg-u-bahn/zimmer_max-1
jungfernstieg_hamburg-u-bahn	2	4	400572	http://www.nestoria.de/immobilien/kaufen/jungfernstieg_hamburg-u-bahn/zimmer-2/zimmer_max-2
jungfernstieg_hamburg-u-bahn	3	4	371569	http://www.nestoria.de/immobilien/kaufen/jungfernstieg_hamburg-u-bahn/zimmer-3/zimmer_max-3
jungfernstieg_hamburg-u-bahn	4	4	407387	http://www.nestoria.de/immobilien/kaufen/jungfernstieg_hamburg-u-bahn/zimmer-4/zimmer_max-4
jungfernstieg_hamburg-u-bahn	5	4	265025	http://www.nestoria.de/immobilien/kaufen/jungfernstieg_hamburg-u-bahn/zimmer-5/zimmer_max-5
dehnhaide_hamburg-u-bahn	1	7	99002	http://www.nestoria.de/immobilien/kaufen/dehnhaide_hamburg-u-bahn/zimmer_max-1
dehnhaide_hamburg-u-bahn	2	11	159981	http://www.nestoria.de/immobilien/kaufen/dehnhaide_hamburg-u-bahn/zimmer-2/zimmer_max-2
dehnhaide_hamburg-u-bahn	3	15	267494	http://www.nestoria.de/immobilien/kaufen/dehnhaide_hamburg-u-bahn/zimmer-3/zimmer_max-3
dehnhaide_hamburg-u-bahn	4	8	589211	http://www.nestoria.de/immobilien/kaufen/dehnhaide_hamburg-u-bahn/zimmer-4/zimmer_max-4
dehnhaide_hamburg-u-bahn	5	5	654043	http://www.nestoria.de/immobilien/kaufen/dehnhaide_hamburg-u-bahn/zimmer-5/zimmer_max-5
emilienstrasse_hamburg-u-bahn	1	6	116770	http://www.nestoria.de/immobilien/kaufen/emilienstrasse_hamburg-u-bahn/zimmer_max-1
emilienstrasse_hamburg-u-bahn	2	38	179708	http://www.nestoria.de/immobilien/kaufen/emilienstrasse_hamburg-u-bahn/zimmer-2/zimmer_max-2
emilienstrasse_hamburg-u-bahn	3	18	254972	http://www.nestoria.de/immobilien/kaufen/emilienstrasse_hamburg-u-bahn/zimmer-3/zimmer_max-3
emilienstrasse_hamburg-u-bahn	4	10	457107	http://www.nestoria.de/immobilien/kaufen/emilienstrasse_hamburg-u-bahn/zimmer-4/zimmer_max-4
emilienstrasse_hamburg-u-bahn	5	6	461797	http://www.nestoria.de/immobilien/kaufen/emilienstrasse_hamburg-u-bahn/zimmer-5/zimmer_max-5
luebecker-strasse_hamburg-u-bahn	2	14	172510	http://www.nestoria.de/immobilien/kaufen/luebecker-strasse_hamburg-u-bahn/zimmer-2/zimmer_max-2
luebecker-strasse_hamburg-u-bahn	3	17	321020	http://www.nestoria.de/immobilien/kaufen/luebecker-strasse_hamburg-u-bahn/zimmer-3/zimmer_max-3
luebecker-strasse_hamburg-u-bahn	4	9	689750	http://www.nestoria.de/immobilien/kaufen/luebecker-strasse_hamburg-u-bahn/zimmer-4/zimmer_max-4
luebecker-strasse_hamburg-u-bahn	5	8	846371	http://www.nestoria.de/immobilien/kaufen/luebecker-strasse_hamburg-u-bahn/zimmer-5/zimmer_max-5
luebecker-strasse_hamburg-u-bahn	1	5	92477	http://www.nestoria.de/immobilien/kaufen/luebecker-strasse_hamburg-u-bahn/zimmer_max-1
meiendorfer-weg_hamburg-u-bahn	2	3	221307	http://www.nestoria.de/immobilien/kaufen/meiendorfer-weg_hamburg-u-bahn/zimmer-2/zimmer_max-2
meiendorfer-weg_hamburg-u-bahn	3	3	347660	http://www.nestoria.de/immobilien/kaufen/meiendorfer-weg_hamburg-u-bahn/zimmer-3/zimmer_max-3
meiendorfer-weg_hamburg-u-bahn	4	5	373130	http://www.nestoria.de/immobilien/kaufen/meiendorfer-weg_hamburg-u-bahn/zimmer-4/zimmer_max-4
meiendorfer-weg_hamburg-u-bahn	5	6	501051	http://www.nestoria.de/immobilien/kaufen/meiendorfer-weg_hamburg-u-bahn/zimmer-5/zimmer_max-5
meiendorfer-weg_hamburg-u-bahn	1	2	58323	http://www.nestoria.de/immobilien/kaufen/meiendorfer-weg_hamburg-u-bahn/zimmer_max-1
billstedt_hamburg-u-bahn	1	3	59094	http://www.nestoria.de/immobilien/kaufen/billstedt_hamburg-u-bahn/zimmer_max-1
billstedt_hamburg-u-bahn	2	3	105627	http://www.nestoria.de/immobilien/kaufen/billstedt_hamburg-u-bahn/zimmer-2/zimmer_max-2
billstedt_hamburg-u-bahn	3	6	143611	http://www.nestoria.de/immobilien/kaufen/billstedt_hamburg-u-bahn/zimmer-3/zimmer_max-3
billstedt_hamburg-u-bahn	4	5	233308	http://www.nestoria.de/immobilien/kaufen/billstedt_hamburg-u-bahn/zimmer-4/zimmer_max-4
billstedt_hamburg-u-bahn	5	14	319917	http://www.nestoria.de/immobilien/kaufen/billstedt_hamburg-u-bahn/zimmer-5/zimmer_max-5
osterstrasse_hamburg-u-bahn	1	5	116770	http://www.nestoria.de/immobilien/kaufen/osterstrasse_hamburg-u-bahn/zimmer_max-1
osterstrasse_hamburg-u-bahn	2	31	180269	http://www.nestoria.de/immobilien/kaufen/osterstrasse_hamburg-u-bahn/zimmer-2/zimmer_max-2
osterstrasse_hamburg-u-bahn	3	15	259776	http://www.nestoria.de/immobilien/kaufen/osterstrasse_hamburg-u-bahn/zimmer-3/zimmer_max-3
osterstrasse_hamburg-u-bahn	4	9	451542	http://www.nestoria.de/immobilien/kaufen/osterstrasse_hamburg-u-bahn/zimmer-4/zimmer_max-4
osterstrasse_hamburg-u-bahn	5	5	461797	http://www.nestoria.de/immobilien/kaufen/osterstrasse_hamburg-u-bahn/zimmer-5/zimmer_max-5
feldstrasse_hamburg-u-bahn	1	2	167179	http://www.nestoria.de/immobilien/kaufen/feldstrasse_hamburg-u-bahn/zimmer_max-1
feldstrasse_hamburg-u-bahn	2	5	138836	http://www.nestoria.de/immobilien/kaufen/feldstrasse_hamburg-u-bahn/zimmer-2/zimmer_max-2
