station	category	num	price	url
chandni-chowk	1	39	1369810	http://www.nestoria.in/madan-street/property/sale/bedrooms-1/maxbed-1
chandni-chowk	2	406	2855625	http://www.nestoria.in/madan-street/property/sale/bedrooms-2/maxbed-2
chandni-chowk	3	442	5203593	http://www.nestoria.in/madan-street/property/sale/bedrooms-3/maxbed-3
chandni-chowk	4	96	11743974	http://www.nestoria.in/madan-street/property/sale/bedrooms-4/maxbed-4
chandni-chowk	5	20	10178790	http://www.nestoria.in/madan-street/property/sale/bedrooms-5/maxbed-5
chandni-chowk	all	1036	3479634	http://www.nestoria.in/madan-street/property/sale
shyambazar	2	16	3411366	http://www.nestoria.in/shyambazar/property/sale/bedrooms-2/maxbed-2
shyambazar	3	19	8192102	http://www.nestoria.in/shyambazar/property/sale/bedrooms-3/maxbed-3
shyambazar	4	3	14098723	http://www.nestoria.in/shyambazar/property/sale/bedrooms-4/maxbed-4
shyambazar	5	2	8372991	http://www.nestoria.in/shyambazar/property/sale/bedrooms-5/maxbed-5
shyambazar	all	46	5322383	http://www.nestoria.in/shyambazar/property/sale
shyambazar	1	2	2469050	http://www.nestoria.in/shyambazar/property/sale/bedrooms-1/maxbed-1
esplanade	1	72	1369810	http://www.nestoria.in/esplanade/property/sale/bedrooms-1/maxbed-1
esplanade	2	762	2855625	http://www.nestoria.in/esplanade/property/sale/bedrooms-2/maxbed-2
esplanade	3	830	5203593	http://www.nestoria.in/esplanade/property/sale/bedrooms-3/maxbed-3
esplanade	4	179	11743974	http://www.nestoria.in/esplanade/property/sale/bedrooms-4/maxbed-4
esplanade	5	37	10178790	http://www.nestoria.in/esplanade/property/sale/bedrooms-5/maxbed-5
esplanade	all	1947	3479634	http://www.nestoria.in/esplanade/property/sale
mahanayak-uttam-kumar	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
mahanayak-uttam-kumar	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
mahanayak-uttam-kumar	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
mahanayak-uttam-kumar	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
mahanayak-uttam-kumar	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
mahanayak-uttam-kumar	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
netaji-bhaven	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
netaji-bhaven	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
netaji-bhaven	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
netaji-bhaven	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
netaji-bhaven	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
netaji-bhaven	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
rabindra-sarobar	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
rabindra-sarobar	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
rabindra-sarobar	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
rabindra-sarobar	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
rabindra-sarobar	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
rabindra-sarobar	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
shahid-khudiram	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
shahid-khudiram	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
shahid-khudiram	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
shahid-khudiram	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
shahid-khudiram	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
shahid-khudiram	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
kavi-subhash	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
kavi-subhash	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
kavi-subhash	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
kavi-subhash	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
kavi-subhash	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
kavi-subhash	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
dum-dum	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
dum-dum	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
dum-dum	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
dum-dum	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
dum-dum	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
dum-dum	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
jatin-das-park	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
jatin-das-park	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
jatin-das-park	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
jatin-das-park	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
jatin-das-park	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
jatin-das-park	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
netaji	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
netaji	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
netaji	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
netaji	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
netaji	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
netaji	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
kalighat	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
kalighat	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
kalighat	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
kalighat	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
kalighat	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
kalighat	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
gitanjali	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
gitanjali	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
gitanjali	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
gitanjali	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
gitanjali	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
gitanjali	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
park-street	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
park-street	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
park-street	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
park-street	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
park-street	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
park-street	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
belgachia	2	11	2924969	http://www.nestoria.in/belgachia/property/sale/bedrooms-2/maxbed-2
belgachia	3	5	5697378	http://www.nestoria.in/belgachia/property/sale/bedrooms-3/maxbed-3
belgachia	all	20	3225566	http://www.nestoria.in/belgachia/property/sale
belgachia	1	3	1856000	http://www.nestoria.in/belgachia/property/sale/bedrooms-1/maxbed-1
belgachia	4	2	9111000	http://www.nestoria.in/belgachia/property/sale/bedrooms-4/maxbed-4
maiden	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
maiden	2	1205	2432055	http://www.nestoria.in/dum-dum/property/sale/bedrooms-2/maxbed-2
maiden	3	899	4018557	http://www.nestoria.in/dum-dum/property/sale/bedrooms-3/maxbed-3
maiden	4	61	6158939	http://www.nestoria.in/dum-dum/property/sale/bedrooms-4/maxbed-4
maiden	all	2377	2835186	http://www.nestoria.in/dum-dum/property/sale
maiden	5	18	8294399	http://www.nestoria.in/dum-dum/property/sale/bedrooms-5/maxbed-5
kavi-nazrul	1	120	1389657	http://www.nestoria.in/dum-dum/property/sale/bedrooms-1/maxbed-1
