station	category	num	price	url
west-acton	1	59	251285	http://www.nestoria.co.uk/west-acton/property/buy/bedrooms-1/maxbed-1
west-acton	2	112	330541	http://www.nestoria.co.uk/west-acton/property/buy/bedrooms-2/maxbed-2
west-acton	3	54	495854	http://www.nestoria.co.uk/west-acton/property/buy/bedrooms-3/maxbed-3
west-acton	4	50	773457	http://www.nestoria.co.uk/west-acton/property/buy/bedrooms-4/maxbed-4
west-acton	5	28	965574	http://www.nestoria.co.uk/west-acton/property/buy/bedrooms-5/maxbed-5
west-acton	all	328	384063	http://www.nestoria.co.uk/west-acton/property/buy
northolt	1	182	154338	http://www.nestoria.co.uk/northolt/property/buy/bedrooms-1/maxbed-1
northolt	2	471	205301	http://www.nestoria.co.uk/northolt/property/buy/bedrooms-2/maxbed-2
northolt	3	381	296773	http://www.nestoria.co.uk/northolt/property/buy/bedrooms-3/maxbed-3
northolt	4	105	382544	http://www.nestoria.co.uk/northolt/property/buy/bedrooms-4/maxbed-4
northolt	5	54	367848	http://www.nestoria.co.uk/northolt/property/buy/bedrooms-5/maxbed-5
northolt	all	1307	233531	http://www.nestoria.co.uk/northolt/property/buy
barking	1	283	118236	http://www.nestoria.co.uk/barking/property/buy/bedrooms-1/maxbed-1
barking	2	557	169587	http://www.nestoria.co.uk/barking/property/buy/bedrooms-2/maxbed-2
barking	3	734	216715	http://www.nestoria.co.uk/barking/property/buy/bedrooms-3/maxbed-3
barking	4	257	270863	http://www.nestoria.co.uk/barking/property/buy/bedrooms-4/maxbed-4
barking	5	117	428708	http://www.nestoria.co.uk/barking/property/buy/bedrooms-5/maxbed-5
barking	all	1977	187301	http://www.nestoria.co.uk/barking/property/buy
acton-town	1	71	264407	http://www.nestoria.co.uk/acton-town/property/buy/bedrooms-1/maxbed-1
acton-town	2	133	353836	http://www.nestoria.co.uk/acton-town/property/buy/bedrooms-2/maxbed-2
acton-town	3	60	547512	http://www.nestoria.co.uk/acton-town/property/buy/bedrooms-3/maxbed-3
acton-town	4	56	785293	http://www.nestoria.co.uk/acton-town/property/buy/bedrooms-4/maxbed-4
acton-town	5	33	981946	http://www.nestoria.co.uk/acton-town/property/buy/bedrooms-5/maxbed-5
acton-town	all	378	400730	http://www.nestoria.co.uk/acton-town/property/buy
edgware-road-circle-line	1	179	465830	http://www.nestoria.co.uk/edgware-road/property/buy/bedrooms-1/maxbed-1
edgware-road-circle-line	2	312	823628	http://www.nestoria.co.uk/edgware-road/property/buy/bedrooms-2/maxbed-2
edgware-road-circle-line	3	277	1326517	http://www.nestoria.co.uk/edgware-road/property/buy/bedrooms-3/maxbed-3
edgware-road-circle-line	4	121	2199543	http://www.nestoria.co.uk/edgware-road/property/buy/bedrooms-4/maxbed-4
edgware-road-circle-line	5	49	3109854	http://www.nestoria.co.uk/edgware-road/property/buy/bedrooms-5/maxbed-5
edgware-road-circle-line	all	998	843861	http://www.nestoria.co.uk/edgware-road/property/buy
willesden-green	1	63	276167	http://www.nestoria.co.uk/willesden-green/property/buy/bedrooms-1/maxbed-1
willesden-green	2	141	372237	http://www.nestoria.co.uk/willesden-green/property/buy/bedrooms-2/maxbed-2
willesden-green	3	66	519181	http://www.nestoria.co.uk/willesden-green/property/buy/bedrooms-3/maxbed-3
willesden-green	4	55	791473	http://www.nestoria.co.uk/willesden-green/property/buy/bedrooms-4/maxbed-4
willesden-green	5	49	1530165	http://www.nestoria.co.uk/willesden-green/property/buy/bedrooms-5/maxbed-5
willesden-green	all	381	425457	http://www.nestoria.co.uk/willesden-green/property/buy
greenford	1	249	166011	http://www.nestoria.co.uk/greenford/property/buy/bedrooms-1/maxbed-1
greenford	2	577	233316	http://www.nestoria.co.uk/greenford/property/buy/bedrooms-2/maxbed-2
greenford	3	618	333828	http://www.nestoria.co.uk/greenford/property/buy/bedrooms-3/maxbed-3
greenford	4	253	439824	http://www.nestoria.co.uk/greenford/property/buy/bedrooms-4/maxbed-4
greenford	5	125	537922	http://www.nestoria.co.uk/greenford/property/buy/bedrooms-5/maxbed-5
greenford	all	2023	271772	http://www.nestoria.co.uk/greenford/property/buy
west-ham	1	49	153718	http://www.nestoria.co.uk/west-ham/property/buy/bedrooms-1/maxbed-1
west-ham	2	86	202905	http://www.nestoria.co.uk/west-ham/property/buy/bedrooms-2/maxbed-2
west-ham	3	84	246990	http://www.nestoria.co.uk/west-ham/property/buy/bedrooms-3/maxbed-3
west-ham	4	15	299490	http://www.nestoria.co.uk/west-ham/property/buy/bedrooms-4/maxbed-4
west-ham	5	14	395034	http://www.nestoria.co.uk/west-ham/property/buy/bedrooms-5/maxbed-5
west-ham	all	261	207477	http://www.nestoria.co.uk/west-ham/property/buy
kennington	1	94	286451	http://www.nestoria.co.uk/kennington/property/buy/bedrooms-1/maxbed-1
kennington	2	87	397725	http://www.nestoria.co.uk/kennington/property/buy/bedrooms-2/maxbed-2
kennington	3	65	520873	http://www.nestoria.co.uk/kennington/property/buy/bedrooms-3/maxbed-3
kennington	4	18	913560	http://www.nestoria.co.uk/kennington/property/buy/bedrooms-4/maxbed-4
kennington	5	12	1131764	http://www.nestoria.co.uk/kennington/property/buy/bedrooms-5/maxbed-5
kennington	all	290	357621	http://www.nestoria.co.uk/kennington/property/buy
clapham-south	1	196	280879	http://www.nestoria.co.uk/clapham-south/property/buy/bedrooms-1/maxbed-1
clapham-south	2	304	449801	http://www.nestoria.co.uk/clapham-south/property/buy/bedrooms-2/maxbed-2
clapham-south	3	93	580088	http://www.nestoria.co.uk/clapham-south/property/buy/bedrooms-3/maxbed-3
clapham-south	4	65	976611	http://www.nestoria.co.uk/clapham-south/property/buy/bedrooms-4/maxbed-4
clapham-south	5	65	1240430	http://www.nestoria.co.uk/clapham-south/property/buy/bedrooms-5/maxbed-5
clapham-south	all	681	441839	http://www.nestoria.co.uk/clapham-south/property/buy
buckhurst-hill	1	44	185059	http://www.nestoria.co.uk/buckhurst-hill/property/buy/bedrooms-1/maxbed-1
buckhurst-hill	2	174	256825	http://www.nestoria.co.uk/buckhurst-hill/property/buy/bedrooms-2/maxbed-2
buckhurst-hill	3	182	413537	http://www.nestoria.co.uk/buckhurst-hill/property/buy/bedrooms-3/maxbed-3
buckhurst-hill	4	193	621244	http://www.nestoria.co.uk/buckhurst-hill/property/buy/bedrooms-4/maxbed-4
buckhurst-hill	5	60	782071	http://www.nestoria.co.uk/buckhurst-hill/property/buy/bedrooms-5/maxbed-5
buckhurst-hill	all	699	373598	http://www.nestoria.co.uk/buckhurst-hill/property/buy
lambeth-north	1	50	365479	http://www.nestoria.co.uk/lambeth-north/property/buy/bedrooms-1/maxbed-1
lambeth-north	2	52	550557	http://www.nestoria.co.uk/lambeth-north/property/buy/bedrooms-2/maxbed-2
