station	category	num	price	url
retiro	1	416	123170	http://www.nestoria.es/retiro/casa/comprar/dormitorios-1/dormitorios_max-1
retiro	2	1022	159658	http://www.nestoria.es/retiro/casa/comprar/dormitorios-2/dormitorios_max-2
retiro	3	1072	248688	http://www.nestoria.es/retiro/casa/comprar/dormitorios-3/dormitorios_max-3
retiro	4	801	396504	http://www.nestoria.es/retiro/casa/comprar/dormitorios-4/dormitorios_max-4
retiro	5	374	627305	http://www.nestoria.es/retiro/casa/comprar/dormitorios-5/dormitorios_max-5
retiro	all	4270	229093	http://www.nestoria.es/retiro/casa/comprar
la-gavia	1	16	88791	http://www.nestoria.es/la-gavia/casa/comprar/dormitorios-1/dormitorios_max-1
la-gavia	2	72	93665	http://www.nestoria.es/la-gavia/casa/comprar/dormitorios-2/dormitorios_max-2
la-gavia	3	176	172555	http://www.nestoria.es/la-gavia/casa/comprar/dormitorios-3/dormitorios_max-3
la-gavia	4	94	284716	http://www.nestoria.es/la-gavia/casa/comprar/dormitorios-4/dormitorios_max-4
la-gavia	5	42	499931	http://www.nestoria.es/la-gavia/casa/comprar/dormitorios-5/dormitorios_max-5
la-gavia	all	472	156838	http://www.nestoria.es/la-gavia/casa/comprar
palos-de-la-frontera	1	49	99773	http://www.nestoria.es/palos-de-la-frontera/casa/comprar/dormitorios-1/dormitorios_max-1
palos-de-la-frontera	2	133	126682	http://www.nestoria.es/palos-de-la-frontera/casa/comprar/dormitorios-2/dormitorios_max-2
palos-de-la-frontera	3	280	130144	http://www.nestoria.es/palos-de-la-frontera/casa/comprar/dormitorios-3/dormitorios_max-3
palos-de-la-frontera	4	185	221395	http://www.nestoria.es/palos-de-la-frontera/casa/comprar/dormitorios-4/dormitorios_max-4
palos-de-la-frontera	5	26	408307	http://www.nestoria.es/palos-de-la-frontera/casa/comprar/dormitorios-5/dormitorios_max-5
palos-de-la-frontera	all	669	179794	http://www.nestoria.es/palos-de-la-frontera/casa/comprar
rios-rosas	1	79	155206	http://www.nestoria.es/rios-rosas/casa/comprar/dormitorios-1/dormitorios_max-1
rios-rosas	2	145	177699	http://www.nestoria.es/rios-rosas/casa/comprar/dormitorios-2/dormitorios_max-2
rios-rosas	3	167	260724	http://www.nestoria.es/rios-rosas/casa/comprar/dormitorios-3/dormitorios_max-3
rios-rosas	4	155	508493	http://www.nestoria.es/rios-rosas/casa/comprar/dormitorios-4/dormitorios_max-4
rios-rosas	5	96	744760	http://www.nestoria.es/rios-rosas/casa/comprar/dormitorios-5/dormitorios_max-5
rios-rosas	all	741	297784	http://www.nestoria.es/rios-rosas/casa/comprar
puente-de-vallecas	1	174	99277	http://www.nestoria.es/puente-de-vallecas/casa/comprar/dormitorios-1/dormitorios_max-1
puente-de-vallecas	2	650	89466	http://www.nestoria.es/puente-de-vallecas/casa/comprar/dormitorios-2/dormitorios_max-2
puente-de-vallecas	3	1122	106175	http://www.nestoria.es/puente-de-vallecas/casa/comprar/dormitorios-3/dormitorios_max-3
puente-de-vallecas	4	178	174544	http://www.nestoria.es/puente-de-vallecas/casa/comprar/dormitorios-4/dormitorios_max-4
puente-de-vallecas	5	19	177834	http://www.nestoria.es/puente-de-vallecas/casa/comprar/dormitorios-5/dormitorios_max-5
puente-de-vallecas	all	2180	102397	http://www.nestoria.es/puente-de-vallecas/casa/comprar
san-bernardo	1	25	56358	http://www.nestoria.es/san-bernardo/casa/comprar/dormitorios-1/dormitorios_max-1
san-bernardo	2	94	57402	http://www.nestoria.es/san-bernardo/casa/comprar/dormitorios-2/dormitorios_max-2
san-bernardo	3	108	70682	http://www.nestoria.es/san-bernardo/casa/comprar/dormitorios-3/dormitorios_max-3
san-bernardo	4	24	74764	http://www.nestoria.es/san-bernardo/casa/comprar/dormitorios-4/dormitorios_max-4
san-bernardo	5	39	71200	http://www.nestoria.es/san-bernardo/casa/comprar/dormitorios-5/dormitorios_max-5
san-bernardo	all	272	61044	http://www.nestoria.es/san-bernardo/casa/comprar
velazquez_madrid	1	183	192597	http://www.nestoria.es/velazquez_madrid/casa/comprar/dormitorios-1/dormitorios_max-1
velazquez_madrid	2	346	274831	http://www.nestoria.es/velazquez_madrid/casa/comprar/dormitorios-2/dormitorios_max-2
velazquez_madrid	3	523	282331	http://www.nestoria.es/velazquez_madrid/casa/comprar/dormitorios-3/dormitorios_max-3
