station	category	num	price	url
melbourne-cbd	1	938	332496	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale/bedrooms-1/maxbed-1
melbourne-cbd	2	528	599252	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale/bedrooms-2/maxbed-2
melbourne-cbd	3	54	933315	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale/bedrooms-3/maxbed-3
melbourne-cbd	4	20	1389073	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale/bedrooms-4/maxbed-4
melbourne-cbd	5	17	780845	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale/bedrooms-5/maxbed-5
melbourne-cbd	all	756	489757	http://www.nestoria.com.au/melbourne-cbd/real-estate-property/sale
kensington_melbourne	1	315	326135	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale/bedrooms-1/maxbed-1
kensington_melbourne	2	863	450683	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale/bedrooms-2/maxbed-2
kensington_melbourne	3	212	948004	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale/bedrooms-3/maxbed-3
kensington_melbourne	4	218	1021182	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale/bedrooms-4/maxbed-4
kensington_melbourne	all	256	562456	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale
kensington_melbourne	5	11	3629884	http://www.nestoria.com.au/kensington_melbourne/real-estate-property/sale/bedrooms-5/maxbed-5
footscray	1	506	313535	http://www.nestoria.com.au/footscray/real-estate-property/sale/bedrooms-1/maxbed-1
footscray	2	1596	431115	http://www.nestoria.com.au/footscray/real-estate-property/sale/bedrooms-2/maxbed-2
footscray	3	567	784078	http://www.nestoria.com.au/footscray/real-estate-property/sale/bedrooms-3/maxbed-3
footscray	4	489	925232	http://www.nestoria.com.au/footscray/real-estate-property/sale/bedrooms-4/maxbed-4
footscray	5	58	1067934	http://www.nestoria.com.au/footscray/real-estate-property/sale/bedrooms-5/maxbed-5
footscray	all	1037	545707	http://www.nestoria.com.au/footscray/real-estate-property/sale
south-yarra	1	753	337433	http://www.nestoria.com.au/south-yarra/real-estate-property/sale/bedrooms-1/maxbed-1
south-yarra	2	741	588638	http://www.nestoria.com.au/south-yarra/real-estate-property/sale/bedrooms-2/maxbed-2
south-yarra	3	90	1046268	http://www.nestoria.com.au/south-yarra/real-estate-property/sale/bedrooms-3/maxbed-3
south-yarra	4	15	1570296	http://www.nestoria.com.au/south-yarra/real-estate-property/sale/bedrooms-4/maxbed-4
south-yarra	5	24	1306623	http://www.nestoria.com.au/south-yarra/real-estate-property/sale/bedrooms-5/maxbed-5
south-yarra	all	2628	530322	http://www.nestoria.com.au/south-yarra/real-estate-property/sale
parkville	1	976	299383	http://www.nestoria.com.au/parkville/real-estate-property/sale/bedrooms-1/maxbed-1
parkville	2	1295	461592	http://www.nestoria.com.au/parkville/real-estate-property/sale/bedrooms-2/maxbed-2
parkville	3	267	836564	http://www.nestoria.com.au/parkville/real-estate-property/sale/bedrooms-3/maxbed-3
parkville	4	257	1101550	http://www.nestoria.com.au/parkville/real-estate-property/sale/bedrooms-4/maxbed-4
parkville	5	23	862662	http://www.nestoria.com.au/parkville/real-estate-property/sale/bedrooms-5/maxbed-5
parkville	all	753	474031	http://www.nestoria.com.au/parkville/real-estate-property/sale
