station	category	num	price	url
mundka	1	3	2627132	http://www.nestoria.in/mundka/property/sale/bedrooms-1/maxbed-1
mundka	3	0	52116045	http://www.nestoria.in/mundka/property/sale/bedrooms-3/maxbed-3
mundka	all	11	18627400	http://www.nestoria.in/mundka/property/sale
mundka	2	2	97243251	http://www.nestoria.in/mundka/property/sale/bedrooms-2/maxbed-2
mundka	4	5	170015246	http://www.nestoria.in/mundka/property/sale/bedrooms-4/maxbed-4
mundka	5	0	296258984	http://www.nestoria.in/mundka/property/sale/bedrooms-5/maxbed-5
pragati-maidan	1	2	2994869	http://www.nestoria.in/pragati-maidan/property/sale/bedrooms-1/maxbed-1
pragati-maidan	2	29	6175582	http://www.nestoria.in/pragati-maidan/property/sale/bedrooms-2/maxbed-2
pragati-maidan	3	24	13324096	http://www.nestoria.in/pragati-maidan/property/sale/bedrooms-3/maxbed-3
pragati-maidan	4	3	88017269	http://www.nestoria.in/pragati-maidan/property/sale/bedrooms-4/maxbed-4
pragati-maidan	5	0	987830170	http://www.nestoria.in/pragati-maidan/property/sale/bedrooms-5/maxbed-5
pragati-maidan	all	64	13547667	http://www.nestoria.in/pragati-maidan/property/sale
ghitorni	1	9	1864150	http://www.nestoria.in/ghitorni/property/sale/bedrooms-1/maxbed-1
ghitorni	2	55	2955292	http://www.nestoria.in/ghitorni/property/sale/bedrooms-2/maxbed-2
ghitorni	3	6	6158230	http://www.nestoria.in/ghitorni/property/sale/bedrooms-3/maxbed-3
ghitorni	4	5	26446800	http://www.nestoria.in/ghitorni/property/sale/bedrooms-4/maxbed-4
ghitorni	5	7	286827842	http://www.nestoria.in/ghitorni/property/sale/bedrooms-5/maxbed-5
ghitorni	all	64	4332157	http://www.nestoria.in/ghitorni/property/sale
jangpura	2	181	11324405	http://www.nestoria.in/jungpura/property/sale/bedrooms-2/maxbed-2
jangpura	3	338	32725227	http://www.nestoria.in/jungpura/property/sale/bedrooms-3/maxbed-3
jangpura	4	119	56258236	http://www.nestoria.in/jungpura/property/sale/bedrooms-4/maxbed-4
jangpura	5	46	146771719	http://www.nestoria.in/jungpura/property/sale/bedrooms-5/maxbed-5
jangpura	all	754	28915613	http://www.nestoria.in/jungpura/property/sale
jangpura	1	26	4473905	http://www.nestoria.in/jungpura/property/sale/bedrooms-1/maxbed-1
sultanpur	1	39	1871893	http://www.nestoria.in/sultanpur/property/sale/bedrooms-1/maxbed-1
sultanpur	2	236	3049599	http://www.nestoria.in/sultanpur/property/sale/bedrooms-2/maxbed-2
sultanpur	3	103	5677340	http://www.nestoria.in/sultanpur/property/sale/bedrooms-3/maxbed-3
sultanpur	4	27	19340485	http://www.nestoria.in/sultanpur/property/sale/bedrooms-4/maxbed-4
sultanpur	5	46	266533598	http://www.nestoria.in/sultanpur/property/sale/bedrooms-5/maxbed-5
sultanpur	all	518	4177689	http://www.nestoria.in/sultanpur/property/sale
rithala	1	26	3150701	http://www.nestoria.in/rithala/property/sale/bedrooms-1/maxbed-1
rithala	2	69	5441381	http://www.nestoria.in/rithala/property/sale/bedrooms-2/maxbed-2
rithala	3	50	9269838	http://www.nestoria.in/rithala/property/sale/bedrooms-3/maxbed-3
rithala	4	16	15794945	http://www.nestoria.in/rithala/property/sale/bedrooms-4/maxbed-4
rithala	5	4	25340722	http://www.nestoria.in/rithala/property/sale/bedrooms-5/maxbed-5
rithala	all	181	5808667	http://www.nestoria.in/rithala/property/sale
okhla	1	111	2052004	http://www.nestoria.in/okhla/property/sale/bedrooms-1/maxbed-1
okhla	2	74	4207598	http://www.nestoria.in/okhla/property/sale/bedrooms-2/maxbed-2
okhla	3	176	9350587	http://www.nestoria.in/okhla/property/sale/bedrooms-3/maxbed-3
okhla	4	158	52061439	http://www.nestoria.in/okhla/property/sale/bedrooms-4/maxbed-4
okhla	5	40	30066125	http://www.nestoria.in/okhla/property/sale/bedrooms-5/maxbed-5
okhla	all	690	8225339	http://www.nestoria.in/okhla/property/sale
patel-nagar	1	47	3303616	http://www.nestoria.in/patel-nagar_delhi/property/sale/bedrooms-1/maxbed-1
patel-nagar	2	291	6219386	http://www.nestoria.in/patel-nagar_delhi/property/sale/bedrooms-2/maxbed-2
patel-nagar	3	537	18434241	http://www.nestoria.in/patel-nagar_delhi/property/sale/bedrooms-3/maxbed-3
patel-nagar	4	29	27035726	http://www.nestoria.in/patel-nagar_delhi/property/sale/bedrooms-4/maxbed-4
patel-nagar	5	44	45259576	http://www.nestoria.in/patel-nagar_delhi/property/sale/bedrooms-5/maxbed-5
patel-nagar	all	907	10273912	http://www.nestoria.in/patel-nagar_delhi/property/sale
rohini	1	484	2944497	http://www.nestoria.in/rohini/property/sale/bedrooms-1/maxbed-1
rohini	2	1323	6186333	http://www.nestoria.in/rohini/property/sale/bedrooms-2/maxbed-2
rohini	3	1217	11837017	http://www.nestoria.in/rohini/property/sale/bedrooms-3/maxbed-3
rohini	4	200	17679779	http://www.nestoria.in/rohini/property/sale/bedrooms-4/maxbed-4
rohini	5	54	28138660	http://www.nestoria.in/rohini/property/sale/bedrooms-5/maxbed-5
rohini	all	3578	7144578	http://www.nestoria.in/rohini/property/sale
madipur	1	10	6449806	http://www.nestoria.in/madipur/property/sale/bedrooms-1/maxbed-1
madipur	all	4	6157644	http://www.nestoria.in/madipur/property/sale
janakpuri	1	493	2599905	http://www.nestoria.in/janakpuri/property/sale/bedrooms-1/maxbed-1
janakpuri	2	2063	5226097	http://www.nestoria.in/janakpuri/property/sale/bedrooms-2/maxbed-2
janakpuri	3	1929	12563985	http://www.nestoria.in/janakpuri/property/sale/bedrooms-3/maxbed-3
janakpuri	4	494	19883190	http://www.nestoria.in/janakpuri/property/sale/bedrooms-4/maxbed-4
janakpuri	5	180	43656143	http://www.nestoria.in/janakpuri/property/sale/bedrooms-5/maxbed-5
janakpuri	all	5439	7913885	http://www.nestoria.in/janakpuri/property/sale
