station	category	num	price	url
montparnasse-bienvenue	1	186	439382	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
montparnasse-bienvenue	all	92	239378	http://www.nestoria.fr/montparnasse_paris/immobilier/vente/pieces_max-1
montparnasse-bienvenue	2	162	821437	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
montparnasse-bienvenue	all	136	460014	http://www.nestoria.fr/montparnasse_paris/immobilier/vente/pieces-2/pieces_max-2
montparnasse-bienvenue	3	125	1252227	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
montparnasse-bienvenue	all	110	691274	http://www.nestoria.fr/montparnasse_paris/immobilier/vente/pieces-3/pieces_max-3
montparnasse-bienvenue	4	72	1623864	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
montparnasse-bienvenue	all	110	1014125	http://www.nestoria.fr/montparnasse_paris/immobilier/vente/pieces-4/pieces_max-4
montparnasse-bienvenue	5	27	1704229	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
montparnasse-bienvenue	all	87	1279064	http://www.nestoria.fr/montparnasse_paris/immobilier/vente/pieces-5/pieces_max-5
montparnasse-bienvenue	all	713	601347	http://www.nestoria.fr/montparnasse_paris/immobilier/vente
dupleix	1	399	394983	http://www.nestoria.fr/dupleix/immobilier/vente
dupleix	all	127	233958	http://www.nestoria.fr/dupleix/immobilier/vente/pieces_max-1
dupleix	2	318	709647	http://www.nestoria.fr/dupleix/immobilier/vente
dupleix	all	319	422094	http://www.nestoria.fr/dupleix/immobilier/vente/pieces-2/pieces_max-2
dupleix	3	248	1033496	http://www.nestoria.fr/dupleix/immobilier/vente
dupleix	all	300	634839	http://www.nestoria.fr/dupleix/immobilier/vente/pieces-3/pieces_max-3
dupleix	4	132	1422905	http://www.nestoria.fr/dupleix/immobilier/vente
dupleix	all	187	838156	http://www.nestoria.fr/dupleix/immobilier/vente/pieces-4/pieces_max-4
dupleix	5	34	2224161	http://www.nestoria.fr/dupleix/immobilier/vente
dupleix	all	170	1192396	http://www.nestoria.fr/dupleix/immobilier/vente/pieces-5/pieces_max-5
dupleix	all	1352	507540	http://www.nestoria.fr/dupleix/immobilier/vente
corentin-cariou	1	45	243304	http://www.nestoria.fr/corentin-cariou/immobilier/vente
