station	category	num	price	url
castro-pretorio	1	9	920258	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	2	233	402093	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	3	165	539458	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	4	40	764538	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	5	19	1018215	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	1007	416180	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	22	197803	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	74	281259	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	144	425064	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	140	534857	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
castro-pretorio	all	97	768542	http://www.nestoria.it/immobiliare/vendita/castro-pretorio
cinecitta	1	5	267344	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	2	135	302526	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	3	44	329292	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	4	8	432261	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	478	272296	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	13	135856	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	97	222379	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	179	277152	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	72	320797	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	all	34	370236	http://www.nestoria.it/immobiliare/vendita/cinecitta
cinecitta	5	2	313689	http://www.nestoria.it/immobiliare/vendita/cinecitta
battistini	1	0	0	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	8	167107	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	2	39	331888	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	46	231032	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	3	20	444050	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	61	314616	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	4	2	370735	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	28	375917	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	5	0	324065	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	11	491257	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
battistini	all	198	279061	http://www.nestoria.it/immobiliare/vendita/via-ennio-bonifazi
spagna_roma	1	21	293715	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	2	982	304922	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	3	452	416683	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	4	151	558760	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	3979	311080	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	86	194378	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	504	235466	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	1043	305360	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	771	382352	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	all	478	466739	http://www.nestoria.it/immobiliare/vendita/spagna_roma
spagna_roma	5	44	924274	http://www.nestoria.it/immobiliare/vendita/spagna_roma
manzoni_roma	1	17	297334	http://www.nestoria.it/immobiliare/vendita/manzoni_roma
manzoni_roma	2	780	327991	http://www.nestoria.it/immobiliare/vendita/manzoni_roma
